x,y,noisy_x,noisy_y,x_neuron,y_neuron,pattern_str,state_count,is_collision,pattern_idx
-52.30769230769231,-64.61538461538461,-52.30769230769231,-64.61538461538461,7,6,x7_y6,4,True,119
-58.46153846153846,-58.46153846153846,-58.46153846153846,-58.46153846153846,7,7,x7_y7,4,True,120
-58.46153846153846,-52.30769230769231,-58.46153846153846,-52.30769230769231,7,7,x7_y7,4,True,120
-52.30769230769231,-58.46153846153846,-52.30769230769231,-58.46153846153846,7,7,x7_y7,4,True,120
-52.30769230769231,-52.30769230769231,-52.30769230769231,-52.30769230769231,7,7,x7_y7,4,True,120
-58.46153846153846,-46.153846153846146,-58.46153846153846,-46.153846153846146,7,8,x7_y8,2,True,121
-52.30769230769231,-46.153846153846146,-52.30769230769231,-46.153846153846146,7,8,x7_y8,2,True,121
-58.46153846153846,-40.0,-58.46153846153846,-40.0,7,9,x7_y9,4,True,122
-58.46153846153846,-33.84615384615384,-58.46153846153846,-33.84615384615384,7,9,x7_y9,4,True,122
-52.30769230769231,-40.0,-52.30769230769231,-40.0,7,9,x7_y9,4,True,122
-52.30769230769231,-33.84615384615384,-52.30769230769231,-33.84615384615384,7,9,x7_y9,4,True,122
-58.46153846153846,-27.692307692307693,-58.46153846153846,-27.692307692307693,7,10,x7_y10,4,True,123
-58.46153846153846,-21.538461538461533,-58.46153846153846,-21.538461538461533,7,10,x7_y10,4,True,123
-52.30769230769231,-27.692307692307693,-52.30769230769231,-27.692307692307693,7,10,x7_y10,4,True,123
-52.30769230769231,-21.538461538461533,-52.30769230769231,-21.538461538461533,7,10,x7_y10,4,True,123
-58.46153846153846,-15.384615384615373,-58.46153846153846,-15.384615384615373,7,11,x7_y11,2,True,124
-52.30769230769231,-15.384615384615373,-52.30769230769231,-15.384615384615373,7,11,x7_y11,2,True,124
-58.46153846153846,-9.230769230769226,-58.46153846153846,-9.230769230769226,7,12,x7_y12,4,True,125
-58.46153846153846,-3.076923076923066,-58.46153846153846,-3.076923076923066,7,12,x7_y12,4,True,125
-52.30769230769231,-9.230769230769226,-52.30769230769231,-9.230769230769226,7,12,x7_y12,4,True,125
-52.30769230769231,-3.076923076923066,-52.30769230769231,-3.076923076923066,7,12,x7_y12,4,True,125
-58.46153846153846,3.07692307692308,-58.46153846153846,3.07692307692308,7,13,x7_y13,4,True,126
